Deutsch;Latein;Gelernt;Lektion_ID
dort;ibi;0;1
schon, bereits, nun;iam;0;1
da, dann, damals;tum;0;1
schlieszlich;postremo;0;1
noch nicht;nondum;0;1
endlich, schlieszlich;tandem;0;1
hierher;huc;0;1
nur;solem;0;1
lange, lange Zeit;diu;0;2
immer;semper;0;2
ploetzlich;subito;0;2
von allen Seiten, von ueueberallher;undique;0;2
bald;mox;0;2
jetzt, nun;nunc;0;2
genug;satis;0;2
so;ita;0;2
zuerst;primo;0;2
sofort;statim;0;3
ein wenig;paulum;0;3
gewiss, sicherlich;certe;0;3
gut;bene;0;3
zusammen, zugleich;una;0;3
wieder, wiederum, wieder(um), zum zweiten Mal;iterum;0;3
um ein wenig, ein wenig, (um) ein wenig;paulo;0;3
sicherlich, tatsaeaechlich;profecto;0;4
nahe, in der Naeaehe, beinahe;prope;0;4
gleichsam, wie;quasi;0;5
bis jetzt, noch, immer noch, (immer) noch;adhuc;0;5
nachher, spaeaeter;postae;0;5
