Deutsch;Latein;Gelernt;Lektion_ID
dort;ibi;1
schon, bereits, nun;iam;1
da, dann, damals;tum;1
schlieszlich;postremo;1
noch nicht;nondum;1
endlich, schlieszlich;tandem;1
hierher;huc;1
nur;solum;1
lange, lange Zeit;diu;2
immer;semper;2
ploeoetzlich;subito;2
von allen Seiten, von ueueberallher;undique;2
bald;mox;2
jetzt, nun;nunc;2
genug;satis;2
so;ita;2
zuerst;primo;2
sofort;statim;3
ein wenig;paulum;3
gewiss, sicherlich;certe;3
gut;bene;3
zusammen, zugleich;una;3
wieder, wiederum, wieder(um), zum zweiten Mal;iterum;3
um ein wenig, ein wenig, (um) ein wenig;paulo;3
sicherlich, tatsaeaechlich;profecto;4
nahe, in der Naeaehe, beinahe;prope;4
gleichsam, wie;quasi;5
bis jetzt, noch, immer noch, (immer) noch;adhuc;5
nachher, spaeaeter;postae;5
gleichzeitig, zugleich;simul;7
also, folglich;igitur;7
oft;saepe;7
einst, einmal, manchmal;quondam;7
im Gegenteil, ja sogar;immo;8
schließlich, zuletzt;denique;8
wieder;rursus;9
