Nominativ Singular Deutsch;Wortstamm;Gelernt ;Lektion;Sprechvokal;Deklination
der Sklave, der Diener;serv;1;o-Deklination_m
die Herrin, die Dame ;domin;1;a-Deklination
die Sklavin, die Dienerin;serv;1;a-Deklination
der Herr;domin;1;o-Deklination_m
das Pferd;equ;1;o-Deklination_m
das Volk;popul;1;o-Deklination_m
der Sieg;victori;1;a-Deklination
der Arzt;medic;1;o-Deklination_m
der Weg, die Strasze;vi;2;a-Deklination
die Menge, die Menschenmenge;turb;2;a-Deklination
das Gasthaus, der Laden;tabern;2;a-Deklination
das Tor, die Tueuer;port;2;a-Deklination
das Fenster;fenestr;2;a-Deklination
das Geld, das Vermoeoegen;pecuni;2;a-Deklination
der Freund;amic;2;o-Deklination_m
das Maeaedchen;puell;3;a-Deklination
das Unrecht, die Beleidigung;iniuri;3;a-Deklination
die Schuld;culp;3;a-Deklination
der Gefaeaehrte, der Verbueuendete;soci;3;o-Deklination_m
die Meinung, der Satz, der Sinn;sententi;3;a-Deklination
das Schwert;gladi;3;o-Deklination_m
der Geist, der Mut, die Gesinnung;anim;3;o-Deklination_m
die Strafe;poen;3;a-Deklination
der Dank;grati;3;a-Deklination
die Erinnerung, das Gedaeaechtnis, die Zeit;memori;4;a-Deklination
die Goeoettin;de;4;a-Deklination
die Freundin;amic;4;a-Deklination
das Feld, der freie Platz;camp;4;o-Deklination_m
der Zorn, die Wut;ir;4;a-Deklination
die Flucht;fug;4;a-Deklination
der Wald;silv;4;a-Deklination
das Auge;ocul;4;o-Deklination_m
das Leben;vit;5;a-Deklination
das Geschenk;don;5;o-Deklination_n
das Geschoeoepf;creatur;5;a-Deklination
die Erde, das Land;terr;5;a-Deklination
der Himmel ;cael;5;o-Deklination_n
die Natur, das Wesen, die Beschaffenheit;natur;5;a-Deklination
der Gott, die Gottheit;de;5;o-Deklination_m
die List, die Taeaeuschung;dol;5;o-Deklination_m
der Stolz, die UeUeberheblichkeit;superbi;5;a-Deklination
die Flamme, das Feuer;flamm;5;a-Deklination
das Opfer, das Heiligtum;sacr;5;o-Deklination_n
der Befehl, die Herrschaft, das Reich;imperi;5;o-Deklination_n
die Sprache;lingu;5;a-Deklination
die Menge, der Vorrat;copi;5;a-Deklination
das Wort, die AeAeuszerung;verb;5;o-Deklination_n
die Arbeit, die Mueuehe;oper;5;a-Deklination
der Buchstabe;litter;5;a-Deklination
die Stadt, die Kleinstadt;oppid;5;o-Deklination_n
die Beratung, der Beschluss, der Plan, der Rat;consili;5;o-Deklination_n
Merkur;mercuri;6;o-Deklination_m
der Ruhm, die Ehre;glori;6;a-Deklination
der Tempel;templ;6;o-Deklination_n
der gute Ruf, der schlechte Ruf, der Ruf, das Gerücht;fam;6;a-Deklination
